"","customerID","tenure","MonthlyCharges","TotalCharges","Churn","Gender_Female","SeniorCitizen_0","Partner_Yes","Dependents_No","PhoneService_No","MultipleLines_No","InternetService_DSL","InternetService_Fiberoptic","OnlineSecurity_No","Online_Backup_Yes","DeviceProtection_No","TechSupport_No","tv_No","Movies_No","Contract_Monthtomonth","Contract_Oneyear","PaperLessBilling_Yes","PaymentMethod_Electroniccheck","PaymentMethod_Mailedcheck","PaymentMethod_Banktransfer_automatic"
"331","9385-EHGDO",35,19.85,739.35,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"332","9498-FIMXL",8,19.2,161.95,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"333","2379-GYFLQ",46,94.9,4422.95,"No",0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0
"341","6035-BXTTY",32,54.65,1830.1,"No",1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1
"344","9639-BUJXT",63,20.5,1328.15,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"356","4572-DVCGN",10,80.25,846,"Yes",1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1
"357","3351-NGXYI",16,54.1,889,"No",1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0
"362","5229-DTFYB",41,98.8,3959.15,"No",1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1
"375","6862-CQUMB",37,96.1,3646.8,"No",0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0
"377","6158-HDPXZ",1,25.35,25.35,"No",0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"379","2863-IMQDR",61,89.65,5308.7,"No",1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"380","5686-CMAWK",17,86.75,1410.25,"No",0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0
"381","5651-CRHKQ",41,86.2,3339.05,"No",1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1
"389","8782-LKFPK",44,90.4,4063,"No",0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
"392","9774-NRNAU",27,84.8,2309.55,"No",0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1
"404","3067-SVMTC",68,55.9,3848.8,"No",1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1
"405","5495-GPSRW",20,19.7,419.4,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"410","7989-CHGTL",1,19.6,19.6,"Yes",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"423","7663-ZTEGJ",29,100.55,2830.45,"No",0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
"425","8111-BKVDS",10,40.7,449.3,"No",1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1
"427","2806-MLNTI",52,105.1,5376.4,"No",0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1
"428","8734-DKSTZ",10,85.95,858.6,"No",1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0
"429","4360-PNRQB",18,75.6,1395.05,"No",0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1
"437","4980-URKXC",36,20.85,720.05,"No",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"440","3577-AMVUX",1,55.05,55.05,"No",0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"452","5760-WRAHC",22,69.75,1545.4,"No",1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
"453","8847-GEOOQ",60,60.2,3582.4,"No",0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1
"458","0942-KOWSM",30,80.8,2369.3,"No",1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"471","4933-IKULF",17,20.65,330.6,"No",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"473","1304-BCCFO",9,70.05,564.4,"No",0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0
"475","9399-APLBT",1,74.7,74.7,"Yes",1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0
"476","2359-KMGLI",24,80.25,1861.5,"Yes",0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0
"477","3780-DDGSE",35,76.05,2747.2,"No",0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0
"485","5949-XIKAE",8,83.55,680.05,"Yes",1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0
"488","3649-JPUGY",72,88.6,6201.95,"No",0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
"500","7783-YKGDV",12,99.7,1238.45,"Yes",1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1
"501","4374-YMUSQ",34,116.25,3899.05,"No",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"506","5609-CEBID",20,94.1,1782.4,"Yes",1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0
"519","0257-ZESQC",27,75.2,1929.35,"Yes",1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1
"521","5174-ITUMV",67,105.4,6989.45,"No",0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0
"523","0913-XWSCN",55,85.5,4713.4,"No",0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1
"524","6825-UYPFK",23,75.6,1758.6,"Yes",1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
"525","8397-MVTAZ",34,100.05,3480,"Yes",0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0
"533","4234-XTNEA",2,79.95,174.45,"No",0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0
"536","5348-CAGXB",12,89.55,1021.75,"No",0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0
"548","2560-PPCHE",65,105.05,6744.25,"No",1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1
"549","4676-MQUEA",50,101.9,5265.5,"No",0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
"554","1982-FEBTD",23,25.6,514.75,"No",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"567","6967-QIQRV",15,101.9,1667.25,"No",0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"569","0939-YAPAF",35,100.25,3527.6,"Yes",1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0
"571","7293-LSCDV",60,19.25,1103.25,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"572","7025-WCBNE",47,59.6,2754,"No",0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1
"573","5756-JYOJT",11,64.9,697.25,"No",1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"581","1218-VKFPE",12,19,233.55,"Yes",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"584","1423-BMPBQ",1,19,19,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"596","0719-SYFRB",12,61.65,713.75,"Yes",1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0
"597","8208-EUMTE",16,54.85,916.15,"No",0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
"602","5173-ZXXXL",2,19.95,47.7,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"615","7138-GIRSH",50,69.5,3418.2,"No",0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"617","6464-KEXXH",8,25.25,186.3,"No",0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0
"619","5240-CAOYT",57,87.55,4884.85,"No",1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1
"620","4059-IIEBK",7,78.55,522.95,"No",1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1
"621","4881-JVQOD",10,34.55,362.6,"No",0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1
"629","2469-DTSGX",72,111.65,7943.45,"No",1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"632","9931-KGHOA",46,55,2473.95,"No",1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
"644","4908-XAXAY",49,89.85,4287.2,"No",1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1
"645","8404-VLQFB",15,25.25,394.85,"No",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"650","3509-GWQGF",24,70,1732.6,"No",0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0
"663","3030-ZKIWL",1,20.05,20.05,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"665","8755-OGKNA",57,19.5,1167.6,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"667","7538-GWHML",2,69.65,145.15,"Yes",1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0
"668","5533-RJFTJ",49,30.2,1453.1,"No",0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1
"669","3859-CVCET",4,45.65,191.05,"Yes",1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"677","2324-AALNO",48,24.55,1203.95,"No",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"680","2826-UWHIS",45,81.4,3775.85,"No",0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
"692","6663-JOCQO",31,75.25,2344.5,"No",0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
"693","9620-QJREV",47,20.55,1013.05,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"698","5896-NPFWW",3,50.15,168.15,"Yes",0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0
"711","1029-QFBEN",1,19.55,19.55,"Yes",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"713","9661-JALZV",58,24.7,1519,"No",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"715","4312-KFRXN",72,25.4,1710.9,"No",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"716","5575-TPIZQ",46,89.15,4245.55,"No",0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0
"717","0114-IGABW",71,58.25,4145.9,"No",1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"725","5244-IRFIH",33,94.5,3105.55,"Yes",0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
"728","6786-OBWQR",5,80.85,356.1,"No",1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0
"740","7503-MIOGA",72,89.85,6697.35,"No",1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"741","4381-MHQDC",47,65,2879.9,"No",1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
"746","2499-AJYUA",72,110.8,7882.25,"No",1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"759","2189-WWOEW",15,85.9,1269.55,"Yes",1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1
"761","4013-GUXND",1,20.8,20.8,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"763","7379-POKDZ",3,70.3,208.85,"Yes",0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"764","1266-NZYUI",72,66.85,4758.8,"No",1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
"765","7969-FFOWG",65,19.9,1292.6,"No",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"773","3900-AQPHZ",1,19.9,19.9,"Yes",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"776","8823-RLPWL",72,110.65,8065.65,"No",1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
"788","2202-OUTMO",34,60.85,2003.6,"No",1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1
"789","0810-BDHAW",24,78.4,1832.4,"No",1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0
"794","9871-ELEYA",34,67.65,2339.3,"No",1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"807","7382-DFJTU",18,55.2,1058.1,"No",0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0
"809","4289-DTDKW",40,101.3,4113.1,"Yes",0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0
"811","2239-JALAW",58,103.25,6017.65,"Yes",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1
"812","4853-RULSV",70,104,7250.15,"Yes",0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"813","8098-TDCBU",42,25.25,1108.2,"No",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"821","4220-TINQT",61,106.35,6751.35,"No",1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
"824","0295-QVKPB",5,63.95,318.1,"No",0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0
"836","4250-WAROZ",60,93.25,5774.55,"No",0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0
"837","8184-WMOFI",62,71.4,4487.3,"No",0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"842","0392-BZIUW",72,105,7589.8,"No",1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"855","7695-PKLCZ",68,20.5,1424.9,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"857","8374-UULRV",72,86.05,6309.65,"No",0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"859","3224-DFQNQ",66,89,5898.6,"No",1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0
"860","5275-PMFUT",72,64.8,4719.75,"No",0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"861","4795-UXVCJ",26,19.8,457.3,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"869","3313-QKNKB",59,85.55,5084.65,"Yes",0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0
"872","1573-LGXBA",57,97.55,5598,"No",0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0
"884","3199-NPKCN",67,111.25,7511.65,"No",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
"885","5170-PTRKA",49,35.8,1782,"No",1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0
"890","7549-MYGPK",63,100.55,6215.35,"Yes",1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0
"903","2719-BDAQO",17,93.85,1625.65,"Yes",0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
"905","0379-DJQHR",67,81.35,5398.6,"No",0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"907","5543-QDCRY",4,56.4,234.85,"No",0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0
"908","0297-RBCSG",19,65.35,1231.85,"No",0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1
"909","4694-PHWFW",8,19.95,170.9,"No",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"917","3956-CJUST",23,75.4,1643.55,"No",1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1
"920","5149-TGWDZ",21,104.55,2239.4,"No",1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0
"932","0454-OKRCT",33,80.6,2651.1,"No",0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1
"933","5787-KXGIY",72,19.3,1304.8,"No",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938","6400-BWQKW",6,79.05,434.5,"Yes",1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0
"951","4208-UFFGW",2,44.95,85.15,"Yes",0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"953","8467-WYNSR",22,55.1,1253.15,"No",0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0
"955","5382-SOYZL",22,95.1,2162.6,"No",0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
"956","9448-REEVD",1,44.7,44.7,"Yes",0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0
"957","3261-CQXOL",71,25.45,1813.35,"No",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"965","9117-SHLZX",1,45.7,45.7,"Yes",0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0
"968","7764-BDPEE",3,20.85,60.65,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"980","6461-PPAXN",35,54.95,1916,"No",1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1
"981","3318-ISQFQ",20,19.5,413,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"986","9369-XFEHK",33,80.6,2656.5,"Yes",1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1
